device,ecommerce,event_name,event_previous_timestamp,event_timestamp,geo,items,traffic_source,user_first_touch_timestamp,user_id
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",warranty,1593878899217692,1593878946592107,"{""city"":""Montrose"",""state"":""MI""}",[],google,1593878899217692,UA000000107379500
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",press,1593876662175340,1593877011756535,"{""city"":""Northampton"",""state"":""MA""}",[],google,1593876662175340,UA000000107359357
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",add_item,1593878792892652,1593878815459100,"{""city"":""Salinas"",""state"":""CA""}","[{""coupon"":null,""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595,""price_in_usd"":595,""quantity"":1}]",youtube,1593878455472030,UA000000107375547
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,1593878178791663,1593878809276923,"{""city"":""Everett"",""state"":""MA""}",[],facebook,1593877903116176,UA000000107370581
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593878628143633,"{""city"":""Cottage Grove"",""state"":""MN""}",[],google,1593878628143633,UA000000107377108
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878634344194,"{""city"":""Medina"",""state"":""MN""}",[],youtube,1593878634344194,UA000000107377161
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877936171803,"{""city"":""Mount Pleasant"",""state"":""UT""}",[],direct,1593877936171803,UA000000107370851
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876843215329,"{""city"":""Piedmont"",""state"":""AL""}",[],instagram,1593876843215329,UA000000107360961
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",warranty,1593878529774474,1593879213196400,"{""city"":""Rancho Santa Margarita"",""state"":""CA""}",[],instagram,1593878529774474,UA000000107376205
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876713246514,"{""city"":""Elyria"",""state"":""OH""}",[],facebook,1593876713246514,UA000000107359805
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",original,1593878068949001,1593878170903989,"{""city"":""Longview"",""state"":""WA""}",[],google,1593877826716812,UA000000107369909
